Request Mix Accuracy
===================================
Domain Marker;max-jOPS;11485.0
Domain Marker;critical-jOPS;4097.0
Domain Marker;Validation Start jOPS;1383.7
Range Marker;Main Tx Limit;-5.0
Range Marker;Main Tx Limit;5.0
Range Marker;Minor Tx Limit;-1.0
Range Marker;Minor Tx Limit;1.0
jOPS;In-store Purchase [50%];Online Purchase [35%];Installment Purchase [10%];Associativity of Category [0.1%];Associativity of Product [1%];Business Report [0.25%];Customer Buying Behavior [1%];Product Return [2.65%]
5120.0;0.018425412328682;-0.01831325764494096;-0.003172375340069422;-2.211049479441951E-5;-0.0011824308085711666;-5.52762369860349E-5;4.1977895914047103E-4;0.00390025923754056
5258.0;0.006297982756123588;-0.0017949250854911725;0.0030860115505007;-8.067715910593937E-4;-0.0017697331544707096;9.746128315100688E-4;-0.0014548340166644635;-0.004532343290444274
5396.0;-0.004764729932034584;0.0038578942352884837;-0.0017521910072648694;0.0014426372626472755;0.0021302953825155235;2.2517191452997576E-4;-0.0030955374461661966;0.001956459590479298
5535.0;-0.002841121495329446;0.0011214953271050376;-0.0019439252336450608;1.8691588785045565E-4;3.7383177570093906E-4;-5.794392523364444E-4;-0.0017196261682241865;0.005401869158878636
5673.0;-0.011822090671053331;0.017032567670526078;-0.008144106906726734;-1.690121110751175E-4;6.129972940560613E-5;-0.0012982406977660732;-2.306037439540054E-4;0.004570186730652015
5812.0;0.008278712859976167;-0.008735469431563558;-4.567565715856148E-4;0.001628337177701139;-0.0022723639436361687;-2.1124991435814144E-4;-0.0017014182291547053;0.0034702080526183288
5950.0;0.0062839507896867985;7.680384298538456E-4;-0.0060046640879196644;5.432126349303873E-4;-1.5360768597005858E-4;5.201714820348702E-4;-0.0015500411947885206;-4.070603678205664E-4
6088.0;0.0036776423860587215;-0.0027378004429507996;-3.541433408802419E-4;-0.0011122825083155624;-0.001043360765821455;-1.9273570282468677E-4;5.911469613140152E-4;0.0011715334134243527
6227.0;-0.009431581184657034;0.014811567635064193;-0.007837511125281083;6.920920841137629E-4;0.00240438900623019;-5.280357071693331E-4;-0.0018464644854474521;0.0017355437771491289
6365.0;-0.009465792183071642;0.005536840085163419;-4.927398670631078E-4;3.633308177666411E-4;-2.5674340441761423E-4;5.193218862082349E-4;0.0023366243169717915;0.001459158348439793
6503.0;-0.00747090777860393;0.0147518772238584;-0.0013928811112648987;-4.72313322274695E-4;-9.243665556583069E-4;-8.009066389778885E-4;-0.0014308687779367446;-0.0022596330391397856
